,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG,RIVER
19,1691,SATLUJ AT U/S HUSSANIWALA - H/W FEROZEPUR,PUNJAB,14,22,19,6.8,7.2,7,7.1,7.4,7.3,257,288,275,1.6,2.6,2.1,2.8,3.4,2.95,50,140,95,400,500,475,SATLUJ
20,1692,SATLUJ AT D/S HUSSANIWALA- H/W FEROZEPUR,PUNJAB,15,22,19,6.6,7,6.9,7.2,7.3,7.3,278,294,286,1.8,2.4,2.1,2.8,3.5,3.13,70,210,128,500,700,550,SATLUJ
21,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,13,35,23,4.3,6,4.9,7,7.7,7.3,316,518,430,2.4,2.9,2.7,2.6,3.7,3.13,110,700,453,700,1300,1025,SATLUJ
0,1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2,12,6,7,9.8,8.7,6.6,9,7.8,50,116,89,0.1,0.8,0.2,0.21,1.21,0.48,13,70,26,34,280,103,BEAS
1,1002,BEAS AT D/S KULU,HIMACHAL PRADESH,3,14,9,8.1,9.7,8.6,7.1,8.2,7.8,64,156,105,0.1,8.7,0.9,0.13,1.71,0.61,26,180,88,220,920,417,BEAS
2,1003,BEAS AT D/S AUT,HIMACHAL PRADESH,3,15,9,8,10,8.9,6.9,8.2,7.6,47,148,93,0.1,0.4,0.2,0.09,1.72,0.52,22,79,52,130,350,204,BEAS
3,1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,6,16,13,7.9,10.2,8.8,7.4,8.3,7.9,58,177,107,0.1,0.3,0.2,0.12,0.95,0.55,26,49,39,110,280,190,BEAS
4,1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,6,20,12,7.7,12.4,10.2,7.5,8.3,7.9,65,156,101,0.1,0.2,0.1,0.25,1.25,0.73,22,49,31,70,220,138,BEAS
5,1550,BEAS AT U/S MANDI,HIMACHAL PRADESH,9,20,15,7.4,10.7,9,7.4,8.4,8.1,73,182,132,0.1,0.3,0.2,0.25,1.69,0.81,26,70,43,110,350,217,BEAS
6,1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9,22,16,7.1,10.4,8.8,6.5,8.5,7.8,107,276,181,0.1,0.8,0.4,0.3,3.35,1.45,46,240,135,220,1600,597,BEAS
7,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,9,30,18,6.6,9.4,8.3,7.6,7.8,7.7,144,369,282,0.2,3,1,0.05,0.83,0.5,,,,,,,BEAS
8,1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,9,26,18,6.5,9.6,8.3,7.3,9,8.3,140,350,279,0.2,1.6,0.7,0.07,0.81,0.51,,,,,,,BEAS
9,1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,12,25,18,6.7,9.6,8.2,7.4,8.9,8.3,141,368,257,0.4,4,1,0.11,1.8,0.65,,,,,,,BEAS
10,1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,5,25,18,3.8,9.7,7.3,6.7,8.8,7.6,158,230,188,0.4,1.2,0.6,0.09,1.03,0.48,,,,,,,BEAS
11,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,2,12,7,6.6,9.7,8.6,7.1,8.7,7.7,53,123,83,0.1,0.8,0.2,0.04,1.45,0.55,17,110,45,70,350,187,BEAS
12,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,3,13,8,6.1,9.8,8.5,7.4,8.4,7.8,49,163,97,0.1,0.2,0.2,0.13,1.56,0.64,33,170,74,140,920,311,BEAS
13,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,6,26,14,7.3,9.9,8.8,7.6,8.3,7.9,65,155,109,0.1,0.2,0.1,0.23,1.49,0.88,23,70,41,110,280,185,BEAS
14,1693,BEAS AT TALWARA H/W,PUNJAB,12,25,19,7.4,7.8,7.6,7,7.5,7.2,273,286,280,0.3,0.6,0.5,1.1,1.6,1.33,11,90,60,50,500,215,BEAS
15,1694,BEAS AT U/S PATHANKOT,PUNJAB,13,25,19,6.8,7.8,7.3,7.1,7.6,7.3,258,302,274,0.7,0.8,0.8,0.9,1.8,1.35,100,130,113,500,500,500,BEAS
16,1695,BEAS AT D/S PATHANKOT,PUNJAB,11,25,19,6.4,7.6,7,6.9,7.6,7.3,308,513,411,1,1.4,1.2,1.4,2.5,1.88,120,170,143,500,700,575,BEAS
17,1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,13,25,19,6.7,7.4,7.1,7.1,7.5,7.3,252,326,286,0.6,1,0.8,1.4,2.9,2.13,110,130,123,500,700,550,BEAS
18,1294,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,13,25,19,6.8,7.2,7,7,7.6,7.3,275,338,304,1.1,1.2,1.2,1.8,3,2.45,300,800,600,900,1300,1100,BEAS
19,1011,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,9,25,18,7.2,7.5,7.3,7,7.4,7.3,268,342,296,0.4,1.2,0.8,1,3.5,2.43,120,700,413,500,1200,875,BEAS
20,1696,BEAS AT U/S GOINDWAL,PUNJAB,10,25,18,6.6,7.4,7.1,7,7.6,7.2,280,331,301,0.5,1,0.7,1.8,3.4,2.8,130,600,360,600,1100,850,BEAS
21,1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,9,25,18,6.8,7.4,7.2,7.2,7.5,7.4,272,356,302,0.6,1.4,0.9,1.9,5.1,3.5,210,900,578,900,1300,1100,BEAS
22,1697,"BEAS AT HARIKE,",PUNJAB,13,25,20,7,7.8,7.5,7,7.5,7.2,265,340,292,0.3,1,0.6,1.4,3,2.25,100,130,113,500,800,600,BEAS
0,1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,8,8,8,8.6,8.6,8.6,8.4,8.4,8.4,94,94,94,,,,,,,,,,,,,GANGA
1,1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,11,20,16,8.6,11.4,9.7,7.5,8.5,8,132,156,143,0.6,1,0.7,,,,5000,5000,5000,2300,7000,3867,GANGA
2,1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,12,21,17,8,9.6,8.9,7.4,8.5,8.1,80,94,87,0.4,1.2,4.6,,,,1100,1100,1100,1100,200000,107033,GANGA
3,1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,11,20,16,8.2,9.6,8.9,7.2,8.5,8,112,145,129,0.8,1,0.9,,,,,,,,,,GANGA
4,1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,14,18,17,8.4,11.2,9.4,7.4,8.5,8.1,132,140,136,1,1.2,1.1,,,,200000,200000,160000,200000,200000,160000,GANGA
5,1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,17,19,18,1.2,9.8,7,7.2,8.5,8.1,89,110,99,1.2,1.4,1.3,,,,17000,17000,17000,920,22000,7947,GANGA
6,1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,15,19,17,8.2,10.4,9,7.3,8.5,7.9,118,142,131,0.6,1.4,1.1,,,,,,,,,,GANGA
7,1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,10,22,17,7.8,9.2,8.4,6.8,8.2,7.7,104,158,119,1,1.8,1.3,,,,,,,30,160,82,GANGA
8,2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13,28,22,0.6,8,6,7.2,8.8,7.8,214,619,388,1.6,12,6.2,,,,,,,300,1600,1375,GANGA
9,1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,15,24,21,6,8.6,7.2,5.9,8.8,7.6,137,230,189,2.4,8.4,5.3,,,,,,,600,1600,1445,GANGA
10,2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,24,21,7.2,9.2,7.9,6.8,8.8,7.8,135,202,158,1.4,4.2,2.6,,,,,,,160,500,258,GANGA
11,1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13,26,20,7,9.8,8.6,7.2,7.6,7.4,170,260,220,2.8,3.9,3.4,0.13,0.97,0.4,21,1700,920,1000,4800,2125,GANGA
12,2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,19,7.4,12.5,9.2,7,7.5,7.3,170,314,222,1.8,5.2,3.1,0,0.75,0.26,320,360,352,490,910,662,GANGA
13,2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,20,7.6,12,9.2,7,7.6,7.4,160,323,230,1.6,5.6,3.2,0,1.06,0.31,350,550,428,700,1000,822,GANGA
14,1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,17,23,20,8,10.2,9.3,7,7.5,7.3,180,270,216,1.9,4,2.6,0,0.69,0.29,360,840,595,810,1400,1103,GANGA
15,2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,17,24,20,8.2,9.8,9,7,7.8,7.4,180,300,251,0.5,3.8,2.7,0,0.8,0.33,350,920,732,700,1700,1317,GANGA
16,1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,16,31,25,6.6,11.3,8.6,7.6,8.4,8.1,18,492,108,3,4.8,4,0,3.36,1.09,900,28000,4673,2100,93000,24164,GANGA
17,1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,16,31,25,6.4,10.8,8.3,7.9,8.5,8.1,18,476,108,3.8,5.8,4.8,0,2.54,0.94,700,39000,6045,2000,100000,29191,GANGA
18,1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16,31,25,6.4,11.6,8.7,7.4,8.8,8.2,23,499,105,2.6,5.7,4.1,0,2.32,0.76,700,28000,4845,2000,200000,17246,GANGA
19,1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,16,31,25,2.8,12.2,8.7,7.5,9.1,8.4,23,528,106,2.8,5.9,4.3,0,2.48,0.82,700,39000,6245,2800,200000,26691,GANGA
20,1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,16,31,25,4.6,10.8,6.6,7.2,8.9,8.3,29,574,127,4.6,19.2,8.3,0,3.68,1.51,3900,93000,23927,64000,200000,111818,GANGA
21,1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,16,25,20,6.8,8.8,7.7,7.7,8.1,7.9,159,361,240,3.1,3.8,3.5,0.78,0.9,0.84,4300,4900,4642,7000,8500,7883,GANGA
22,2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16,25,20,6.9,8.4,7.8,7.7,8.1,7.9,156,358,237,3.1,3.7,3.4,0.76,0.88,0.81,3900,4700,4400,6900,8200,7658,GANGA
23,1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,20,30,24,4.4,9.3,7.4,7.7,8.5,8.2,310,699,459,2.6,8,5.6,0.71,2.2,1.16,2200,3500,3058,6000,9000,7583,GANGA
24,2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,20,30,24,6.7,9.6,7.8,7.7,8.4,8.2,302,684,441,2.5,6.9,4.8,0.69,2.1,1.09,2100,2800,2600,3500,8000,4958,GANGA
25,1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,20,30,25,4.7,8.7,7.1,7.7,8.4,8.2,300,798,511,2.7,7.3,5.1,0.78,2.66,1.26,3000,4000,3450,6000,12000,9500,GANGA
26,2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,16,32,26,5.3,11.5,8.5,7.4,8.6,7.9,275,649,456,2.2,3.8,2.8,0.58,4.1,2.94,490,1100,813,2200,3500,2575,GANGA
27,2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,16,32,27,5.2,10.8,7.8,7.3,8.5,7.8,276,654,460,3,4.3,3.3,1.52,5.7,4.09,1300,3100,2133,2800,5400,4058,GANGA
