RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,"BEAS AT U/S MANALI, H.P.",HIMACHAL PRADESH,1,16,8.2,7.5,11,9.1,7.2,8.4,7.9,55,335,133,0.1,0.4,0.1,0.065,0.492,0.2,8,49,27,23,240,116
BEAS,1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,3,19,10,7.5,11.2,9.1,7.5,8.3,8,59,340,128,0.1,0.5,0.2,0,0.492,0.2,22,94,54,130,350,285
BEAS,1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,4.5,15.5,9.9,8.1,11,9.3,7.5,8.2,7.9,57,238,117,0.1,0.2,0.1,0.067,0.492,0.2,17,63,33,79,180,123
BEAS,1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,10,23,13.6,8.7,10.8,9.6,6.8,8.2,7.7,42,322,173,0.1,0.7,0.2,0.091,0.457,0.3,23,49,36,130,280,184
BEAS,1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,5.8,23,11.9,8.7,10,9.3,6.8,8.5,8,115,340,198,0.1,0.4,0.1,0,0.974,0.3,21,94,40,70,280,148
BEAS,1550,"BEAS AT U/S MANDI, H.P",HIMACHAL PRADESH,7.5,19,13.6,8.7,11.4,9.7,7.5,8.4,8,63,309,143,0.1,0.5,0.1,0,0.7,0.3,23,94,40,130,920,243
BEAS,1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10,23,14.9,6.9,12.2,9.5,7.4,9,8.1,89,340,190,0.1,0.6,0.3,0,0.83,0.3,27,180,67,170,1600,426
BEAS,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,13,21.5,17.9,6.8,10.5,7.8,6.8,8.8,8.1,41,488,270,0.4,1.8,0.8,0.3,1,0.5,,,,,,
BEAS,1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,12,21.8,18.2,0.2,8.8,7.2,6.9,9.1,8.3,98,471,301,0.2,2,0.9,0.26,1.02,0.5,,,,,,
BEAS,1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,14,22,18.2,7.1,8.3,7.7,7.7,8.6,8.3,118,388,286,0.3,2,0.9,0.24,0.97,0.5,,,,,,
BEAS,1009,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,13.8,24,19.4,5.6,9.8,7.8,7,8.9,8,87,375,222,0.1,0.8,0.4,0.23,0.5,0.4,23,23,23,140,140,140
BEAS,1693,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,10,24,15.7,7.9,7.9,7.9,7.2,7.6,7.4,185,195,191,0.5,0.6,0.6,0.6,1.8,1.2,13,39,24,31,50,42
BEAS,1694,"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,10,24,16,7.6,7.8,7.7,7.4,7.4,7.4,185,210,200,0.3,0.7,0.6,1,1.4,1.3,130,210,170,330,350,337
BEAS,1695,"BEAS AT D/S PATHANKOT,PUNJAB",PUNJAB,11,23,15.7,7.3,7.5,7.4,7.3,7.7,7.5,240,240,240,0.6,0.8,0.7,2.3,3,2.6,170,210,193,430,490,450
BEAS,1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",PUNJAB,10,23,15.7,7.5,7.6,7.6,7.4,7.6,7.5,220,245,235,0.5,0.8,0.7,1.5,2.6,2.2,70,140,100,220,280,257
BEAS,1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,PUNJAB",PUNJAB,11,23,16,6.1,6.8,6.4,7.1,7.6,7.4,260,290,280,1.8,2.7,2.1,1.6,4.9,3.4,180,790,453,460,1400,773
BEAS,1011,"BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA, PUNJAB",PUNJAB,10,22,15.3,7.3,7.4,7.4,7.3,7.5,7.4,235,258,248,0.8,0.9,0.8,2.4,3.3,2.9,130,200,177,350,460,400
BEAS,1696,"BEAS AT U/S GOINDWAL, PUNJAB",PUNJAB,11,23,16,7.4,7.6,7.5,7.2,7.5,7.4,240,270,257,0.6,0.8,0.7,2.1,3.7,2.9,170,280,220,430,430,430
BEAS,1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,PUNJAB,11,23,16.3,7.3,7.5,7.4,7.2,7.5,7.4,245,270,260,0.6,1.2,0.8,1.8,3.8,3.1,220,640,417,460,900,620
BEAS,1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,12,22,16.3,7.3,7.6,7.5,7.3,7.5,7.4,240,260,253,0.6,0.7,0.6,1.4,3.6,2.8,120,200,150,340,400,363
BEAS,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,1.5,14,8.5,7.9,11,9.1,7.2,8,7.8,63,221,104,0.1,0.6,0.3,0.1,0.6,0.3,14,94,46,33,350,200
BEAS,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,3,17.5,9.8,7.6,11.2,9.2,7.3,8.2,7.9,55,312,121,0.1,1,0.2,0,0.5,0.2,17,70,49,94,280,197
BEAS,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9,18,13.8,7.9,11.2,9.6,7.4,8.2,7.8,45,294,126,0.1,0.8,0.2,0,1.3,0.4,23,110,47,170,1600,344
BRAHMAPUTRA,1260,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,19,30,22.3,6,9.5,7.2,6.7,7.6,7.1,20,532,216,0.7,2.1,1.5,0.1,6.51,1.4,0,730,146,360,46000,5525
BRAHMAPUTRA,1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM,15,29,21.8,6,11.4,7.7,6.8,7.7,7.2,125,419,256,0.6,3.4,1.4,0.1,5.8,1.5,0,21000,2128,0,240000,45100
BRAHMAPUTRA,1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM,19,31,25.1,5.1,7.8,6.9,6.2,7.8,7,125,389,273,0.5,3,1.5,0.1,6.8,2.5,0,3500,585,361,240000,26322
BRAHMAPUTRA,1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM,18,28,24.3,6.8,8.2,7.5,6.6,7.5,7,42,1172,298,0.3,2.8,1.3,0,7.3,1.7,0,110000,12418,0,240000,93005
BRAHMAPUTRA,1031,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM,20,30,25.4,6,11,7.9,6.5,7.7,7.2,20,380,236,0.6,2.3,1.4,0.1,7.68,2.3,300,21000,5449,3900,240000,134042
BRAHMAPUTRA,1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM,20.8,33,27.7,4.2,6.6,6,6.8,8,7.3,145,573,295,0.3,1.9,1.1,0.1,7.43,1.9,0,3500,444,0,46000,8382
BRAHMAPUTRA,2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM,21,30,27,7.6,8.6,8.1,7.4,7.8,7.6,166,255,210,0.6,1.5,0.9,0.2,3.7,1.2,910,7500,3388,4300,240000,123400
BRAHMAPUTRA,2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM,21,29,25.8,6.4,8.6,7.3,6.7,7.3,7.1,128,260,168,0.6,3.2,1.6,0.2,0.8,0.4,910,2700,1653,911,240000,61303
BRAHMAPUTRA,2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM,22,30,27.3,5.2,8.3,7.1,6.7,7.6,7.2,247,308,289,0.5,2.5,1.6,0.1,4.8,1.4,300,2300,1208,2301,24000,8725
BRAHMAPUTRA,2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,23,33,28.2,3.8,6,5.1,6.5,7.4,7,148,334,253,1,1.9,1.5,0.4,4.1,1.4,300,9300,2990,910,240000,180228
CAUVERY,1198,"CAUVERY AT NAPOKULU BDG (D/S), KARNATAKA",KARNATAKA,22,28,25,6.3,7.4,6.8,6.2,8.1,7.1,40,76,56,1,1,1,0.03,0.075,0,91,210,135,380,940,570
CAUVERY,1195,"CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI), KARNATAKA",KARNATAKA,23,29,25.3,6,7.6,6.7,6.6,7.9,7.5,58,138,93,1,1,1,0.06,0.17,0.1,110,310,181,580,1500,850
