RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,BEAS  U/S MANALI,HIMACHAL PRADESH,25,31,28.0,5.5,8,6.75,7.8,8.5,8.15,194,486,340.0,1.2,3,2.1,0.2,0.9,0.55,130,1300,715.0,840,3500,2170.0
BEAS,2601,BEAS D/S MANALI,HIMACHAL PRADESH,5,19,12.0,7.6,10.1,8.85,7,8.4,7.7,88,152,120.0,0.1,0.3,0.2,0,1,0.5,11,43,27.0,70,280,175.0
BEAS,2602,BEAS U/S KULLU,HIMACHAL PRADESH,5,20,12.5,7.7,9.6,8.65,6.8,8.3,7.550000000000001,92,194,143.0,0.1,0.1,0.1,0,0.8,0.4,11,34,22.5,94,280,187.0
BEAS,1002,BEAS  D/S KULU,HIMACHAL PRADESH,24,25,24.5,,,,4.3,6.6,5.449999999999999,205,224,214.5,0.4,0.8,0.6000000000000001,0.5,0.9,0.7,2,30,16.0,0,100,50.0
BEAS,1003,BEAS  D/S AUT,HIMACHAL PRADESH,23,29,26.0,2.5,6.82,4.66,6.9,8.3,7.6000000000000005,76,326,201.0,2,8.8,5.4,0.1,1.2,0.65,8,40,24.0,70,1600,835.0
BEAS,1005,"BEAS  EXIT OF TUNNEL
DEHAL POWER HOUSE",HIMACHAL PRADESH,24,31,27.5,6,7.6,6.8,7.3,7.8,7.55,110,400,255.0,2,4,3.0,0.1,0.3,0.2,140,900,520.0,350,2400,1375.0
BEAS,1550,BEAS U/S MANDI,HIMACHAL PRADESH,10,24,17.0,7.6,11.5,9.55,7.2,8.1,7.65,92,259,175.5,0.1,0.1,0.1,0,0.7,0.35,11,32,21.5,94,210,152.0
BEAS,1006,BEAS  D/S MANDI,HIMACHAL PRADESH,10,26,18.0,7.5,11.6,9.55,7.2,8.2,7.699999999999999,121,342,231.5,0.1,0.2,0.15000000000000002,0,1,0.5,17,63,40.0,130,540,335.0
BEAS,2604,BEAS  D/S JAISINGHPUR,HIMACHAL PRADESH,13,19,16.0,7.5,8.7,8.1,7,8.6,7.8,165,453,309.0,0.3,2,1.15,0,0.2,0.1,6,17,11.5,170,280,225.0
BEAS,1007,BEAS  D/S ALAMPUR,HIMACHAL PRADESH,15,20,17.5,7.1,8.4,7.75,6.7,8.7,7.699999999999999,167,454,310.5,0.4,1,0.7,0,0.3,0.15,5,14,9.5,140,280,210.0
BEAS,1009,BEAS  D/S PONG DAM,HIMACHAL PRADESH,14,20,17.0,6.7,8.7,7.699999999999999,7.4,8.5,7.95,165,310,237.5,0.1,0.5,0.3,0,0.2,0.1,6,13,9.5,130,280,205.0
