RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,"RIVER BEAS AT U/S
MANALI","HIMACHAL
PRADESH",4,14,9.0,7.9,9.7,8.8,7.2,8,7.6,80,270,175.0,1,1,1.0,0.3,0.72,0.51,2,110,56.0,25,540,282.5
BEAS,2601,"RIVER BEAS AT D/S
MANALI","HIMACHAL
PRADESH",4,14,9.0,7.7,9.4,8.55,7.1,7.8,7.449999999999999,70,116,93.0,1,1,1.0,0.32,0.88,0.6,40,350,195.0,240,1600,920.0
BEAS,4444,"RIVER BEAS D/S OF
WPF AT MANALI","HIMACHAL
PRADESH",3,13,8.0,7.7,9.8,8.75,6.9,7.9,7.4,49,88,68.5,1,1,1.0,0.32,0.92,0.62,94,920,507.0,430,1600,1015.0
BEAS,4037,"RIVER BEAS D/S
MANALSU NALLAH","HIMACHAL
PRADESH",4,13,8.5,7.8,9.9,8.85,6.9,7.9,7.4,45,94,69.5,1,1,1.0,0.32,0.82,0.57,33,140,86.5,170,430,300.0
BEAS,3866,"RIVER BEAS BEFORE CONFLUENCE TO
MANALSU NALLAH",HIMACHAL PRADESH,4,12,8.0,7.9,9.8,8.850000000000001,7.1,8.4,7.75,37,92,64.5,1,1,1.0,0.32,0.62,0.47,26,94,60.0,120,350,235.0
BEAS,2602,"RIVER BEAS AT U/S
KULLU","HIMACHAL
PRADESH",6,16,11.0,5.8,9.1,7.449999999999999,7.3,8.1,7.699999999999999,67,127,97.0,1,1,1.0,0.32,1.22,0.77,70,140,105.0,350,920,635.0
BEAS,4445,"RIVER BEAS D/S OF
WPF AT KULLU","HIMACHAL
PRADESH",5,15,10.0,7.8,8.8,8.3,7.2,7.9,7.550000000000001,67,233,150.0,1,1,1.0,0.32,1.62,0.9700000000000001,79,920,499.5,430,1600,1015.0
BEAS,1002,"RIVER BEAS AT D/S
KULU","HIMACHAL
PRADESH",5,15,10.0,7.6,8.8,8.2,7.2,7.9,7.550000000000001,78,145,111.5,1,1,1.0,0.32,1.82,1.07,94,540,317.0,430,1600,1015.0
BEAS,1003,"RIVER BEAS AT D/S
AUT","HIMACHAL
PRADESH",8,14,11.0,7.5,8.8,8.15,6.9,8.1,7.5,62,120,91.0,1,1,1.0,0.32,0.92,0.62,47,220,133.5,280,920,600.0
BEAS,1004,"RIVER BEAS AT U/S
PANDOH DAM","HIMACHAL
PRADESH",7,23,15.0,6.6,10.8,8.7,7.1,8,7.55,62,126,94.0,1,1,1.0,0.34,1.07,0.7050000000000001,33,94,63.5,150,350,250.0
BEAS,2603,"RIVER BEAS AT D/S
PANDOH DAM","HIMACHAL
PRADESH",7,23,15.0,8.2,10.3,9.25,6.9,8,7.45,82,188,135.0,1,1,1.0,0.32,1.92,1.1199999999999999,58,140,99.0,280,540,410.0
BEAS,1005,"RIVER BEAS AT EXIT OF TUNNEL DEHAL
POWER HOUSE",HIMACHAL PRADESH,13,22,17.5,8.4,9.4,8.9,7.3,8,7.65,75,264,169.5,1,1,1.0,0.32,0.92,0.62,43,140,91.5,220,540,380.0
BEAS,1550,"RIVER BEAS U/S
MANDI","HIMACHAL
PRADESH",7,23,15.0,8.4,11.2,9.8,7.3,8.2,7.75,71,180,125.5,1,1,1.0,0.4,1.73,1.065,21,70,45.5,110,280,195.0
BEAS,1006,"RIVER BEAS AT D/S
MANDI","HIMACHAL
PRADESH",8,23,15.5,8.1,10.8,9.45,7.2,8.4,7.800000000000001,83,224,153.5,1,1,1.0,0.33,2.61,1.47,70,170,120.0,240,920,580.0
BEAS,2604,"RIVER BEAS AT D/S
JAISINGHPUR","HIMACHAL
PRADESH",16,26,21.0,8.4,9.5,8.95,7.3,8.2,7.75,118,392,255.0,1,1,1.0,0.4,3.1,1.75,2,2,2.0,27,39,33.0
BEAS,1007,"RIVER BEAS AT D/S
ALAMPUR","HIMACHAL
PRADESH",15,28.5,21.75,8.6,9.6,9.1,7.3,8.2,7.75,109,380,244.5,1,1,1.0,0.4,2.4,1.4,2,2,2.0,21,39,30.0
BEAS,3855,"RIVER BEAS D/S NADAUN BRIDGE,
VILL BHADOLI",HIMACHAL PRADESH,20.0,29.0,24.5,7.6,9.3,8.45,7.4,8.1,7.75,167.0,431.0,299.0,1,1.0,1.0,0.3,1.44,0.87,2,2.0,2.0,24.0,34.0,29.0
BEAS,1009,"RIVER BEAS AT D/S
PONG DAM","HIMACHAL
PRADESH",18.0,27.0,22.5,5.5,9.1,7.3,7,8.0,7.5,146.0,216.0,181.0,1,1.0,1.0,0.3,1.65,0.975,2,2.0,2.0,26.0,41.0,33.5
BEAS,1008,"RIVER BEAS AT D/S
DEHRAGOPIPUR","HIMACHAL
PRADESH",20.0,26.0,23.0,7.2,9.3,8.25,7.1,8.1,7.6,141.0,544.0,342.5,1,1.0,1.0,0.3,1.1,0.7000000000000001,2,2.0,2.0,17.0,41.0,29.0
BEAS,4435,"RIVER BEAS U/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,30.0,20.15,7.8,9.8,8.8,7.1,8.0,7.55,120.0,540.0,330.0,1,1.0,1.0,0.3,0.67,0.485,2,2.0,2.0,24.0,47.0,35.5
BEAS,4436,"RIVER BEAS D/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",10.3,29.0,19.65,7.7,9.5,8.6,7,8.1,7.55,131.0,561.0,346.0,1,1.0,1.0,0.3,1.6,0.9500000000000001,2,2.0,2.0,24.0,49.0,36.5
BEAS,4437,"RIVER BEAS U/S
NADAUM TOWN","HIMACHAL
PRADESH",10.2,29.0,19.6,7.8,9.8,8.8,7.3,8.0,7.65,122.0,307.0,214.5,1,1.0,1.0,0.3,1.1,0.7000000000000001,2,2.0,2.0,24.0,39.0,31.5
BEAS,4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE
OF MAAN KHAD",HIMACHAL PRADESH,10.2,29.0,19.6,7.8,9.7,8.75,7.2,8.1,7.65,138.0,326.0,232.0,1,1.0,1.0,0.34,2.5,1.42,2,2.0,2.0,26.0,49.0,37.5
BEAS,4443,"RIVER BEAS AT
RAISON","HIMACHAL
PRADESH",5.0,15.0,10.0,7.5,9.3,8.4,7,8.3,7.65,71.0,118.0,94.5,1,1.0,1.0,0.32,1.07,0.6950000000000001,32,110.0,71.0,210.0,430.0,320.0
BEAS,1693,"RIVER BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,8.0,36.0,22.0,6.9,8.3,7.6000000000000005,7.5,8.3,7.9,158.0,244.0,201.0,1,1.2,1.1,0.4,1.0,0.7,18,140.0,79.0,84.0,260.0,172.0
BEAS,1694,"RIVER BEAS AT U/S PATHANKOT,
PUNJAB",PUNJAB,11.0,38.0,24.5,7,8.8,7.9,7,8.5,7.75,194.0,312.0,253.0,1.1,1.5,1.3,0.4,1.3,0.8500000000000001,40,130.0,85.0,120.0,430.0,275.0
