RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
YAMUNA,1496,"YAMUNA AT KALANAUR,YAMUNA
NAGAR",HARYANA,,,,,,,7.4,8,7.7,198,235,216.5,1,4,2.5,,,,330,330,330.0,1100,1100,1100.0
YAMUNA,1119,YAMUNA AT SONEPAT,HARYANA,,,,,,,7.3,8.1,7.699999999999999,221,526,373.5,2,11,6.5,,,,170,170,170.0,330,330,330.0
YAMUNA,1120,YAMUNA AT WAZIRABAD,DELHI,,,,5.5,155,80.25,7.4,8.8,8.100000000000001,280,605,442.5,1,8,4.5,,,,2,2,2.0,2,17000,8501.0
YAMUNA,1121,YAMUNA AT NIZAMUDDIN,DELHI,,,,0.9,1.5,1.2,7.6,8.1,7.85,585,1950,1267.5,5,40,22.5,,,,,,,2400000,16000000,9200000.0
YAMUNA,1375,"YAMUNA AT OKHLA BRIDGE
(INLET OF AGRA CANAL)",DELHI,,,,,,,7.4,8,7.7,620,1870,1245.0,10,33,21.5,,,,,,,,,
YAMUNA,1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA
DRAIN",DELHI,,,,1,2.4,1.7,7.5,8,7.75,1000,1850,1425.0,27,97,62.0,,,,,,,2400000,9200000,5800000.0
YAMUNA,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,,,,,,,7.5,8.6,8.05,440,665,552.5,9,12,10.5,,,,35000,35000,35000.0,160000,160000,160000.0
YAMUNA,2495,"YAMUNA AT KESIGHAT,
VRINDAVAN",UTTAR PRADESH,24,33,28.5,4,6.2,5.1,7.1,7.5,7.3,147,1440,793.5,7.8,9.6,8.7,,,,35000,38000,36500.0,48000,72000,60000.0
YAMUNA,1123,YAMUNA AT MATHURA U/S,UTTAR PRADESH,,,,,,,7.5,8.8,8.15,492,1242,867.0,7,10,8.5,,,,4500,4500,4500.0,7800,7800,7800.0
YAMUNA,2494,"YAMUNA AT
VISHRAMGHAT, MATHURA",UTTAR PRADESH,28,38,33.0,4.2,5.6,4.9,7.5,7.6,7.55,1160,2150,1655.0,8.4,10.8,9.600000000000001,,,,44000,70000,57000.0,70000,120000,95000.0
YAMUNA,1124,YAMUNA AT MATHURA D/S,UTTAR PRADESH,,,,,,,7.6,8.8,8.2,460,1158,809.0,7,8,7.5,,,,7800,7800,7800.0,13000,13000,13000.0
YAMUNA,1125,"YAMUNA AT AGRA U/S, U.P.",UTTAR PRADESH,,,,,,,7.6,8.7,8.149999999999999,605,1286,945.5,4,9,6.5,,,,11000,11000,11000.0,14000,14000,14000.0
YAMUNA,1126,"YAMUNA AT D/S OF AGRA,",UTTAR PRADESH,,,,,,,7.8,9.2,8.5,694,1343,1018.5,7,14,10.5,,,,11000,11000,11000.0,17000,17000,17000.0
YAMUNA,2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,27,30,28.5,5.4,6.4,5.9,7.4,7.6,7.5,1180,1430,1305.0,6.4,8.4,7.4,,,,28000,31000,29500.0,42000,54000,48000.0
YAMUNA,1127,YAMUNA AT ETAWAH,UTTAR PRADESH,,,,,,,7.9,8.7,8.3,370,685,527.5,1,3,2.0,,,,,,,,,
YAMUNA,1069,YAMUNA AT ALLAHABAD D/S (BALUA GHAT),UTTAR PRADESH,22,29,25.5,7.6,8.4,8.0,7.7,8.3,8.0,482,553,517.5,2.2,3.4,2.8,,,,2100,12000,7050.0,4600,17000,10800.0
BRAHMAPUTRA,1260,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,20,28,24.0,5.5,8.5,7.0,7.4,8.2,7.8,81,305,193.0,0.6,2.8,1.7,0.1,4.7,2.4,360,110000,55180.0,360,240000,120180.0
BRAHMAPUTRA,1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM,18,27,22.5,6.3,9,7.65,6.8,8.3,7.550000000000001,86,201,143.5,0.5,2,1.25,0.1,3.1,1.6,0,15000,7500.0,0,110000,55000.0
BRAHMAPUTRA,1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM,16,28,22.0,5.8,7.8,6.8,7,7.9,7.45,68,327,197.5,0.6,3.5,2.05,0.1,1.7,0.9,730,24000,12365.0,360,240000,120180.0
BRAHMAPUTRA,1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM,16,30,23.0,5.6,8.5,7.05,7.1,8.1,7.6,71,274,172.5,0.4,1.6,1.0,0.1,5.4,2.75,360,9300,4830.0,2800,240000,121400.0
BRAHMAPUTRA,1031,"BRAHAMPUTRA AT PAU, ASSAM",ASSAM,16,30,23.0,5.9,9.8,7.8500000000000005,7,8.1,7.55,101,272,186.5,0.6,1.6,1.1,0.1,1.8,0.9500000000000001,730,110000,55365.0,2300,240000,121150.0
BRAHMAPUTRA,1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM,20,31,25.5,4.5,7.8,6.15,7.4,8.3,7.8500000000000005,129,406,267.5,0.7,2.9,1.7999999999999998,0.1,1.3,0.7000000000000001,0,15000,7500.0,0,240000,120000.0
BRAHMAPUTRA,2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM,18,30,24.0,5,7.6,6.3,7.2,7.9,7.550000000000001,111,273,192.0,1.1,2.9,2.0,0.1,0.2,0.15000000000000002,1400,7500,4450.0,1401,21000,11200.5
BRAHMAPUTRA,2064,"BRAHMAPUTRA RIVER AT CHARAPUR, GUWAHATI",ASSAM,18,30,24.0,4.4,7.7,6.050000000000001,6.4,7.3,6.85,76,125,100.5,0.8,2,1.4,0.3,2,1.15,360,9300,4830.0,361,9301,4831.0
BRAHMAPUTRA,2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM,20,38,29.0,6.2,8.8,7.5,7.1,8,7.55,103,309,206.0,1,2,1.5,0.1,1,0.55,1100,240000,120550.0,2900,240000,121450.0
BRAHMAPUTRA,2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,26,31,28.5,5.6,6.4,6.0,7.3,7.7,7.5,107,175,141.0,1,2.5,1.75,0.1,0.1,0.1,910,24000,12455.0,2300,46000,24150.0
MAHANADI,1851,"MAHANADI AT SIHAWA, CHHATISGARH.",CHHATTISGARH,29,29,29.0,6.2,6.4,6.300000000000001,7.7,7.9,7.800000000000001,254,412,333.0,2.2,2.4,2.3,1.1,1.1,1.1,,,,170,300,235.0
MAHANADI,1264,"MAHANADI AT RUDRI U/S AT DHAMTORI RESERVOIR, CHHATISGARH.",CHHATTISGARH,28.5,30,29.25,7.4,7.8,7.6,7.8,7.9,7.85,290,448,369.0,2.2,2.4,2.3,1.1,2.6,1.85,,,,110,500,305.0
MAHANADI,1099,"MAHANADI AT U/S OF RAJIM, CHHATISGARH.",CHHATTISGARH,24,28,26.0,7.4,7.8,7.6,7.4,7.6,7.5,272,524,398.0,2,2.4,2.2,1.1,2.1,1.6,,,,110,300,205.0
MAHANADI,1852,"MAHANADI AT ARRANG, RAIPUR, CHHATISGARH.",CHHATTISGARH,28.5,29,28.75,7.6,7.8,7.699999999999999,7.5,7.7,7.6,328,554,441.0,1.4,2.8,2.0999999999999996,1.2,2.4,1.7999999999999998,,,,140,350,245.0
MAHANADI,1100,"MAHANADI AT KHARAD, CHHATISGARH.",CHHATTISGARH,28,35,31.5,6.5,7.5,7.0,7.5,8.5,8.0,140,414,277.0,,,,0.9,2.3,1.5999999999999999,,,,28,159,93.5
MAHANADI,1282,"MAHANADI AT SHEORINARAYAN VILLAGE, CHHATISGARH.",CHHATTISGARH,28,34,31.0,6,8,7.0,8,8.5,8.25,220,385,302.5,,,,0.7,2.2,1.4500000000000002,,,,122,160,141.0
MAHANADI,1467,"MAHANADI AFTER CONFL. WITH RIVER MA, CHHATISGARH.",CHHATTISGARH,28,37.5,32.75,6,7.5,6.75,7.5,8,7.75,148,324,236.0,,,,0.6,2.2,1.4000000000000001,,,,22,188,105.0
MAHANADI,1101,"MAHANADI AT INTERSTATE BOURY, CHHATISGARH.",CHHATTISGARH,19,26,22.5,6.8,7.3,7.05,7.3,7.5,7.4,190,212,201.0,0.8,2.3,1.5499999999999998,0.9,1.2,1.05,,,,43,460,251.5
GODAVARI,1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD, MAHARASHTRA",MAHARASHTRA,21,41,31.0,5.9,7.6,6.75,7.5,8.6,8.05,335,1040,687.5,2,10,6.0,0,0.5,0.25,2,4,3.0,70,170,120.0
