"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-
N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
https://cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_1.htm,2/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:20 AM",cpcb.nic.in/wqm/2013/RIVERWATER DATA 2013_9.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BRAHMAPUTRA-2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1260,"BRAHAMPUTRAAT KHERGHAT (AFTER
CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,18,26,22.1,5.2,10,8.2,6.8,8.4,7.3,103,247,163,0.9,2.6,1.6,0.1,1.09,1,360,1500,783,360,4400,1621
1030,"BRAHAMPUTRAAT DIBRUGARH, ASSAM",ASSAM,19,30,22.9,6.1,10.2,7.9,6.8,7.7,7.3,20,240,136,1.2,3.6,2.1,0.2,1.33,1.02,360,1500,890,360,9300,2269
1262,"BRAHAMPUTRAAT NIMATIGHAT, ASSAM",ASSAM,18,27,22.9,5.6,7.9,7.2,6.6,7.5,7.1,108,350,172,0.7,2.4,1.7,0.25,2.33,1.95,360,360,360,360,2800,1270
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR,
ASSAM",ASSAM,17,29,23.9,7.1,8.9,7.7,6.5,8.5,7.2,93,317,201,1.4,4.1,2.3,0.23,2.06,1,,,,45,45,45
1031,"BRAHAMPUTRAAT PANDU, ASSAM",ASSAM,16,30,23.6,6.8,9.5,8.2,6.8,8.2,7.3,142,290,191,0.6,2.2,1.4,0.2,1.09,1,300,730,523,300,2000,1154
1299,"BRAHAMPUTRAAT JOGIJHOGA NEAR BRIDGE,
ASSAM",ASSAM,19,31,26.6,4.6,7.2,6.1,6,7.9,7.3,135,322,180,0.7,2.4,1.5,0.18,1.56,1.03,360,1500,645,360,4300,1336
,BRAHMPUTRA RIVER NEAR WATER INTAKE,,,,,,,,,,,,,,,,,,,,,,,,,
2069,"POINT AT KACHARIGHAT, PANBAZAR,
GUWAHATI, ASSAM",ASSAM,20,29,25.3,6.2,7.8,7.2,6.8,7.8,7.4,128,203,161,1,2.8,1.9,0.21,2.3,2.02,300,910,575,730,24000,7083
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR,
GUWAHATI",ASSAM,20,30,25.5,6.4,8.2,7.3,7.2,7.5,7.4,122,502,334,1.1,1.9,1.5,0.1,2.06,1.95,360,1100,730,730,3600,1733
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST.
KAMRUP, ASSAM",ASSAM,22,31,26.8,5.6,10.3,8.3,6.9,8.4,7.6,148,275,196,1.1,1.9,1.4,0.21,0.96,0.58,1500,1500,1500,730,4300,2043
2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,20,30,26.5,5.1,7,6.2,6.7,7.5,7.1,83,176,134,0.8,1.4,1.2,0.14,0.56,0.41,730,2800,1765,300,4300,2025
