RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
SATLUJ,1867,"RIVER SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR, H.P.",HIMACHAL PRADESH,9.0,13.0,11.0,9.7,10.0,9.85,7.3,8.2,7.75,116.0,601.0,358.5,0.1,0.2,0.15,0.0,0.1,0.05,,,,,,
SATLUJ,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,9.0,13.0,11.0,9.6,10.1,9.85,7.3,8.3,7.800000000000001,118.0,592.0,355.0,0.1,0.2,0.15,0.0,0.1,0.05,,,,,,
SATLUJ,1389,"SATLUJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,10.0,15.0,12.5,9.4,9.7,9.55,7.3,8.2,7.75,67.0,595.0,331.0,0.1,0.2,0.15,0.0,0.2,0.1,,,,,,
SATLUJ,1086,"SATLUJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,11.0,17.0,14.0,9.2,9.6,9.4,7.2,8.6,7.9,117.0,603.0,360.0,0.1,0.2,0.15,0.0,0.1,0.05,,,,,,
SATLUJ,1087,"SATLUJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,10.0,17.0,13.5,9.1,9.6,9.35,7.4,8.5,7.95,116.0,598.0,357.0,0.1,0.2,0.15,0.0,0.1,0.05,,,,,,
SATLUJ,1013,"SATLUJ AT U/S TATAPANI, H.P.",HIMACHAL PRADESH,11.0,18.0,14.5,9.0,9.8,9.4,7.1,8.6,7.85,86.0,604.0,345.0,0.1,0.2,0.15,0.0,0.2,0.1,,,,,,
SATLUJ,1014,"SATLUJ AT U/S SLAPPER, H.P.",HIMACHAL PRADESH,6.0,18.0,12.0,6.0,9.7,7.85,7.5,8.4,7.95,90.0,303.0,196.5,0.1,0.1,0.1,0.0,0.4,0.2,23.0,79.0,51.0,130.0,280.0,205.0
SATLUJ,1015,"SATLUJ AT D/S SLAPPER, H.P.",HIMACHAL PRADESH,5.0,17.0,11.0,8.0,9.8,8.9,7.5,8.6,8.05,78.0,299.0,188.5,0.1,0.1,0.1,0.0,0.3,0.15,31.0,94.0,62.5,170.0,430.0,300.0
SATLUJ,1016,"SATLUJ AT D/S BHAKHRA, H.P.",HIMACHAL PRADESH,9.0,27.0,18.0,5.0,8.0,6.5,7.0,8.7,7.85,206.0,300.0,253.0,0.2,0.7,0.4499999999999999,0.0,0.9,0.45,12.0,17.0,14.5,33.0,130.0,81.5
SATLUJ,1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",PUNJAB,16.0,20.0,18.0,7.8,9.0,8.4,7.4,8.0,7.7,208.0,260.0,234.0,,,,0.2,1.0,0.6,17.0,35.0,26.0,40.0,100.0,70.0
