RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,3.0,13.0,8.0,8.7,11.5,10.1,7.5,8.1,7.8,61,119,90.0,0.0,0.0,0.0,0.0,0.66,0.33,11.0,58.0,34.5,32.0,280.0,156.0
BEAS,4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,3.0,12.0,7.5,8.0,10.6,9.3,6.5,8.2,7.35,47,94,70.5,0.0,1.0,0.5,0.0,1.12,0.56,26.0,94.0,60.0,170.0,350.0,260.0
BEAS,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,3.0,13.0,8.0,8.5,11.4,9.95,6.5,8.2,7.35,59,845,452.0,0.0,1.0,0.5,0.0,0.84,0.42,2.0,58.0,30.0,12.0,240.0,126.0
BEAS,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,1.0,13.0,7.0,8.5,10.8,9.65,6.7,8.0,7.35,66,720,393.0,0.0,1.0,0.5,0.0,0.81,0.405,21.0,84.0,52.5,110.0,350.0,230.0
BEAS,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,4.0,18.0,11.0,8.5,10.6,9.55,7.2,8.0,7.6,57,920,488.5,0.0,1.0,0.5,0.0,0.7,0.35,23.0,120.0,71.5,140.0,430.0,285.0
BEAS,4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,4.0,20.0,12.0,8.5,10.2,9.35,7.3,7.9,7.6,60,139,99.5,0.0,1.0,0.5,0.0,1.16,0.58,32.0,220.0,126.0,130.0,920.0,525.0
BEAS,1002,BEAS AT D/S KULU,HIMACHAL PRADESH,4.0,18.0,11.0,8.5,10.0,9.25,7.4,7.9,7.65,65,156,110.5,0.0,1.0,0.5,0.0,0.94,0.47,17.0,150.0,83.5,150.0,540.0,345.0
BEAS,1003,BEAS AT D/S AUT,HIMACHAL PRADESH,5.0,12.0,8.5,8.4,9.9,9.15,7.1,7.8,7.449999999999999,51,141,96.0,0.0,1.0,0.5,0.0,1.19,0.595,21.0,94.0,57.5,94.0,350.0,222.0
BEAS,1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,17.0,23.0,20.0,7.6,10.5,9.05,7.1,8.0,7.55,62,153,107.5,0.0,1.0,0.5,0.0,0.81,0.405,22.0,49.0,35.5,94.0,220.0,157.0
BEAS,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,17.0,22.0,19.5,8.4,10.3,9.350000000000001,7.6,8.0,7.8,81,147,114.0,0.0,1.0,0.5,0.0,0.81,0.405,23.0,79.0,51.0,94.0,350.0,222.0
BEAS,1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,14.0,24.0,19.0,8.1,9.7,8.899999999999999,7.4,8.5,7.95,84,205,144.5,0.0,1.0,0.5,0.0,0.51,0.255,23.0,79.0,51.0,110.0,350.0,230.0
BEAS,1550,BEAS U/S MANDI,HIMACHAL PRADESH,17.0,22.0,19.5,8.3,9.9,9.100000000000001,7.1,8.2,7.6499999999999995,71,176,123.5,0.0,1.0,0.5,0.0,0.95,0.475,21.0,49.0,35.0,94.0,170.0,132.0
BEAS,1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9.0,23.0,16.0,8.5,10.3,9.4,7.3,8.6,7.949999999999999,62,1582,822.0,0.0,1.2,0.6,0.0,1.48,0.74,13.0,350.0,181.5,220.0,1600.0,910.0
BEAS,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,11.0,24.0,17.5,8.5,9.2,8.85,7.7,8.2,7.949999999999999,112,378,245.0,0.0,1.0,0.5,0.0,1.35,0.675,2.0,4.0,3.0,21.0,49.0,35.0
BEAS,1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,12.0,32.0,22.0,8.7,9.4,9.05,7.5,8.2,7.85,148,347,247.5,0.0,1.0,0.5,0.0,2.34,1.17,2.0,4.0,3.0,21.0,48.0,34.5
BEAS,3855,"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,12.0,26.0,19.0,8.0,9.4,8.7,7.5,8.2,7.85,116,393,254.5,0.0,1.0,0.5,0.0,1.23,0.615,2.0,4.0,3.0,26.0,40.0,33.0
BEAS,1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,11.5,27.5,19.5,5.2,9.2,7.199999999999999,6.8,8.0,7.4,172,309,240.5,0.0,1.0,0.5,0.0,1.16,0.58,2.0,2.0,2.0,31.0,79.0,55.0
BEAS,1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,13.0,27.0,20.0,8.6,9.3,8.95,7.6,8.1,7.85,135,362,248.5,0.0,1.0,0.5,0.0,1.59,0.795,2.0,2.0,2.0,21.0,58.0,39.5
BEAS,4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.2,26.0,19.1,8.2,9.8,9.0,7.1,8.2,7.6499999999999995,151,364,257.5,0.0,1.0,0.5,0.0,1.32,0.66,2.0,2.0,2.0,23.0,47.0,35.0
BEAS,4436,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.1,26.0,19.05,8.1,9.7,8.899999999999999,7.6,8.5,8.05,157,478,317.5,0.0,1.0,0.5,0.0,1.5,0.75,2.0,2.0,2.0,26.0,79.0,52.5
BEAS,4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,7.6,28.0,17.8,8.2,9.9,9.05,7.3,8.3,7.800000000000001,199,587,393.0,0.0,1.0,0.5,0.0,0.97,0.485,2.0,2.0,2.0,22.0,48.0,35.0
BEAS,4438,RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,10.0,29.0,19.5,7.8,9.9,8.85,7.5,8.3,7.9,163,336,249.5,0.0,1.0,0.5,0.3,1.35,0.8250000000000001,2.0,4.0,3.0,31.0,58.0,44.5
BEAS,4443,RIVER BEAS AT RAISON,HIMACHAL PRADESH,3.0,13.0,8.0,8.5,11.5,10.0,7.2,8.0,7.6,52,136,94.0,0.0,1.0,0.5,0.0,0.75,0.375,31.0,70.0,50.5,170.0,280.0,225.0
BEAS,30083,BEAS AT TALWARA (PONG DAM),INTER-STATE,23.0,23.0,23.0,9.2,9.2,9.2,8.1,8.1,8.1,194,194,194.0,1.0,1.0,1.0,0.0,1.66,0.83,2.0,2.0,2.0,31.0,31.0,31.0
