RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
YAMUNA,1812,YAMUNA AT OKHLA A/M OF SHAHDARA DRAIN,DELHI,19.4,31.8,25.6,0.1,1.6,0.8500000000000001,7.0,7.9,7.45,285.0,1899.0,1092.0,4.0,67.0,35.5,0.0,0.0,0.0,40000.0,92000000.0,46020000.0,230000.0,160000000.0,80115000.0
YAMUNA,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,,,,0.0,6.8,3.4,7.4,8.2,7.8,1009.0,1992.0,1500.5,10.0,27.0,18.5,0.0,0.2,0.1,4900.0,1600000.0,802450.0,4900.0,35000000.0,17502450.0
YAMUNA,2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,20.0,34.0,27.0,3.4,9.6,6.5,6.8,7.8,7.3,997.0,1850.0,1423.5,7.0,10.0,8.5,0.0,0.0,0.0,33000.0,58000.0,45500.0,64000.0,90000.0,77000.0
YAMUNA,1123,YAMUNA U/S MATHURA,UTTAR PRADESH,24.0,24.0,24.0,0.9,5.5,3.2,7.5,7.9,7.7,640.0,1750.0,1195.0,8.0,27.0,17.5,0.0,1.6,0.8,680.0,540000.0,270340.0,4900.0,920000.0,462450.0
YAMUNA,2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,20.0,32.0,26.0,2.8,5.2,4.0,6.7,7.9,7.300000000000001,981.0,1870.0,1425.5,2.0,10.0,6.0,0.0,0.0,0.0,41000.0,160000.0,100500.0,70000.0,140000.0,105000.0
YAMUNA,1124,YAMUNA D/S MATHURA,UTTAR PRADESH,22.0,22.0,22.0,2.8,6.5,4.65,7.6,8.0,7.8,650.0,1978.0,1314.0,7.0,18.0,12.5,0.0,0.9,0.45,680.0,350000.0,175340.0,1400.0,920000.0,460700.0
YAMUNA,1125,YAMUNA U/S AGRA,UTTAR PRADESH,,,,4.1,18.0,11.05,7.1,8.2,7.649999999999999,815.0,1870.0,1342.5,5.0,27.0,16.0,0.0,1.8,0.9,78.0,110000.0,55039.0,220.0,350000.0,175110.0
YAMUNA,1126,YAMUNA  D/S  AGRA,UTTAR PRADESH,22.0,33.0,27.5,2.8,16.3,9.55,7.1,8.1,7.6,825.0,2040.0,1432.5,11.0,26.0,18.5,0.0,1.6,0.8,40.0,28000.0,14020.0,460.0,160000.0,80230.0
YAMUNA,2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,18.0,34.0,26.0,4.8,7.6,6.199999999999999,7.5,8.2,7.85,1090.0,1720.0,1405.0,6.0,8.0,7.0,0.0,0.0,0.0,28000.0,38000.0,33000.0,46000.0,62000.0,54000.0
YAMUNA,1498,YAMUNA AT BATESWAR,UTTAR PRADESH,23.0,32.0,27.5,6.2,9.2,7.699999999999999,7.3,7.9,7.6,698.0,1720.0,1209.0,5.0,24.0,14.5,0.0,1.4,0.7,20.0,16000.0,8010.0,68.0,43000.0,21534.0
YAMUNA,1127,YAMUNA AT ETAWAH,UTTAR PRADESH,22.0,31.0,26.5,6.4,9.6,8.0,7.4,7.9,7.65,690.0,1720.0,1205.0,3.0,18.0,10.5,0.0,2.3,1.15,200.0,79000.0,39600.0,490.0,79000.0,39745.0
YAMUNA,1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH",UTTAR PRADESH,21.0,29.0,25.0,5.4,10.8,8.100000000000001,7.2,7.8,7.5,350.0,4060.0,2205.0,3.0,11.0,7.0,0.0,0.8,0.4,230.0,24000.0,12115.0,940.0,24000.0,12470.0
YAMUNA,1069,YAMUNA AT ALLAHABAD D/S (BALUA GHAT),UTTAR PRADESH,21.0,28.5,24.75,7.4,8.8,8.100000000000001,7.9,8.3,8.100000000000001,472.0,578.0,525.0,2.2,2.8,2.5,0.8,1.2,1.0,1700.0,7800.0,4750.0,6300.0,14000.0,10150.0
MAHANADI,1851,MAHANADI AT SIHAWA,CHHATTISGARH,24.0,28.0,26.0,6.2,6.8,6.5,7.5,7.7,7.6,248.0,411.0,329.5,2.2,2.6,2.4000000000000004,1.0,1.2,1.1,,,,110.0,350.0,230.0
MAHANADI,1264,MAHANADI  U/S RUDRI DHAMTORI RESERVOIR,CHHATTISGARH,24.0,28.0,26.0,7.2,7.4,7.300000000000001,7.7,7.9,7.800000000000001,286.0,434.0,360.0,2.2,2.3,2.25,1.1,2.4,1.75,,,,110.0,500.0,305.0
MAHANADI,1099,MAHANADI U/S OF RAJIM,CHHATTISGARH,24.0,32.0,28.0,6.1,7.7,6.9,5.6,7.6,6.6,268.0,512.0,390.0,1.8,2.8,2.3,1.1,2.1,1.6,,,,110.0,350.0,230.0
MAHANADI,1852,"MAHANADI AT ARRANG, RAIPUR",CHHATTISGARH,25.0,28.0,26.5,7.2,7.7,7.45,7.4,7.9,7.65,322.0,516.0,419.0,1.9,2.8,2.35,1.2,2.4,1.7999999999999998,,,,110.0,300.0,205.0
MAHANADI,1100,MAHANADI AT KHARAD,CHHATTISGARH,21.0,36.0,28.5,5.5,7.9,6.7,7.4,8.5,7.95,196.0,516.0,356.0,1.1,1.3,1.2000000000000002,1.2,2.8,2.0,,,,540.0,540.0,540.0
MAHANADI,1282,MAHANADI AT SHEORINARAYAN VILLAGE,CHHATTISGARH,29.0,36.0,32.5,6.0,7.0,6.5,7.5,9.0,8.25,218.0,380.0,299.0,,,,1.3,2.5,1.9,,,,920.0,920.0,920.0
MAHANADI,1467,MAHANADI A/C WITH MAND,CHHATTISGARH,21.0,36.0,28.5,6.0,7.6,6.8,7.3,10.0,8.65,204.0,344.0,274.0,1.2,1.4,1.2999999999999998,1.2,2.1,1.65,,,,350.0,540.0,445.0
MAHANADI,1101,MAHANADI AT INTERSTATE BOUNDRY,CHHATTISGARH,19.0,28.0,23.5,6.8,7.4,7.1,7.2,7.5,7.35,180.0,212.0,196.0,0.3,2.6,1.45,0.1,1.2,0.65,,,,21.0,460.0,240.5
MAHANADI,3165,"HASDEO  100 METER D/S A/C OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA",CHHATTISGARH,25.0,26.0,25.5,4.6,5.8,5.199999999999999,7.1,7.2,7.15,,,,2.4,7.0,4.7,0.7,0.9,0.8,,,,,,
MAHANADI,3168,HASDEO D/S NEAR URGA VILLAGE KORBA,CHHATTISGARH,25.0,26.0,25.5,4.2,5.2,4.7,7.2,7.2,7.2,,,,3.0,8.0,5.5,0.9,1.1,1.0,,,,,,
MAHANADI,1281,MAHANADI AT HIRAKUD RESERVOIR,ODISHA,18.0,35.0,26.5,5.3,8.0,6.65,7.4,8.3,7.85,167.0,1941.0,1054.0,0.5,1.3,0.9,0.2,2.1,1.15,130.0,3500.0,1815.0,220.0,9200.0,4710.0
MAHANADI,1270,MAHANADI U/S SAMBALPUR,ODISHA,17.0,36.0,26.5,5.6,9.3,7.45,7.5,8.3,7.9,159.0,250.0,204.5,0.5,1.7,1.1,0.3,1.4,0.85,110.0,160000.0,80055.0,490.0,160000.0,80245.0
MAHANADI,1271,MAHANADI D/S SAMBALPUR,ODISHA,20.0,38.0,29.0,4.4,8.7,6.55,7.4,8.4,7.9,176.0,1236.0,706.0,1.6,3.6,2.6,0.4,3.2,1.8,4900.0,160000.0,82450.0,11000.0,160000.0,85500.0
MAHANADI,2405,SAMBHALPUR FDS AT HUMA,ODISHA,22.0,39.0,30.5,6.3,9.7,8.0,7.4,8.4,7.9,164.0,219.7,191.85,0.4,1.6,1.0,0.1,1.6,0.8500000000000001,490.0,54000.0,27245.0,1300.0,54000.0,27650.0
MAHANADI,1272,MAHANADI D/S (A/C WITH R. ONG SONEPUR U/S),ODISHA,23.0,41.0,32.0,6.6,9.1,7.85,7.5,8.5,8.0,176.0,219.0,197.5,0.3,1.3,0.8,0.0,2.5,1.25,78.0,2200.0,1139.0,230.0,5400.0,2815.0
MAHANADI,1274,MAHANADI A/C WITH R.TEL (SONEPUR D/S),ODISHA,23.0,42.0,32.5,6.2,10.3,8.25,7.5,8.4,7.95,173.0,282.6,227.8,0.7,2.0,1.35,0.5,5.2,2.85,130.0,4900.0,2515.0,700.0,11000.0,5850.0
MAHANADI,1275,MAHANADI AT TIKARPADA,ODISHA,17.0,44.0,30.5,6.0,10.3,8.15,7.5,8.4,7.95,181.0,238.1,209.55,0.4,1.6,1.0,0.1,3.5,1.8,13.0,7900.0,3956.5,23.0,11000.0,5511.5
MAHANADI,1276,MAHANADI AT NARSINGHPUR,ODISHA,23.0,42.0,32.5,6.6,8.7,7.649999999999999,7.3,8.4,7.85,131.0,489.0,310.0,0.4,1.4,0.8999999999999999,0.2,1.8,1.0,490.0,3500.0,1995.0,1300.0,4900.0,3100.0
MAHANADI,1277,MAHANADI U/S CUTTACK,ODISHA,23.0,40.0,31.5,6.3,9.1,7.699999999999999,7.2,8.5,7.85,157.0,203.0,180.0,0.5,1.9,1.2,0.1,2.3,1.2,170.0,1700.0,935.0,490.0,5400.0,2945.0
MAHANADI,1278,MAHANADI D/S  CUTTACK,ODISHA,22.0,41.0,31.5,6.0,8.9,7.45,7.4,8.5,7.95,140.0,254.5,197.25,1.4,2.5,1.95,0.4,2.7,1.55,1300.0,160000.0,80650.0,2300.0,160000.0,81150.0
MAHANADI,2406,"MAHANADI, MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY",ODISHA,22.0,38.0,30.0,6.1,8.9,7.5,7.5,8.4,7.95,136.0,284.0,210.0,0.5,1.5,1.0,0.1,1.4,0.75,170.0,11000.0,5585.0,790.0,17000.0,8895.0
MAHANADI,2404,"MAHANADI, POWER CHANNEL D/S NEAR BURLA",ODISHA,17.0,34.0,25.5,4.9,7.7,6.300000000000001,7.6,8.3,7.95,156.0,231.1,193.55,0.5,1.8,1.15,0.4,1.4,0.8999999999999999,490.0,5400.0,2945.0,1100.0,9200.0,5150.0
MAHANADI,2407,"MAHANADI, PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP)",ODISHA,23.0,35.0,29.0,6.0,8.1,7.05,7.3,8.3,7.800000000000001,146.0,29050.0,14598.0,0.4,1.9,1.15,0.1,2.3,1.2,170.0,24000.0,12085.0,460.0,35000.0,17730.0
MAHANADI,1639,MAHANADI D/S PARADEEP,ODISHA,24.0,34.0,29.0,5.6,7.1,6.35,7.4,8.2,7.8,187.0,42170.0,21178.5,0.8,2.1,1.4500000000000002,0.4,3.0,1.7,20.0,22000.0,11010.0,20.0,35000.0,17510.0
GODAVARI,1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD, MAHARASHTRA",MAHARASHTRA,20.0,24.0,22.0,6.1,7.8,6.949999999999999,7.2,9.0,8.1,274.0,980.0,627.0,2.0,6.0,4.0,0.0,0.6,0.3,2.0,6.0,4.0,130.0,240.0,185.0
GODAVARI,2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE,MAHARASHTRA,20.0,34.0,27.0,5.4,7.0,6.2,7.2,8.2,7.699999999999999,238.0,988.0,613.0,2.0,12.0,7.0,0.0,1.4,0.7,2.0,4.0,3.0,90.0,240.0,165.0
GODAVARI,2182,GODAVARI RIVER AT SAIKHEDA,MAHARASHTRA,20.0,35.0,27.5,5.1,7.1,6.1,7.2,8.1,7.65,150.0,522.0,336.0,2.0,5.6,3.8,0.0,3.1,1.55,2.0,10.0,6.0,80.0,280.0,180.0
