RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2.0,13.0,7.5,8.7,11.2,9.95,7.3,8.4,7.85,90.0,179.0,134.5,0.1,0.2,0.15,0.2,0.31,0.255,12.0,33.0,22.5,120.0,240.0,180.0
BEAS,4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,8.0,14.0,11.0,8.5,10.8,9.65,7.3,8.1,7.699999999999999,62.0,92.0,77.0,0.1,0.8,0.45,0.2,0.2,0.2,31.0,94.0,62.5,280.0,540.0,410.0
BEAS,4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,2.0,13.0,7.5,8.9,10.9,9.9,7.0,8.3,7.65,68.0,135.0,101.5,0.1,1.0,0.55,0.1,0.1,0.1,20.0,32.0,26.0,120.0,280.0,200.0
BEAS,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,3.0,14.0,8.5,8.2,11.1,9.65,6.9,8.2,7.55,78.0,218.0,148.0,0.1,0.6,0.35,0.1,0.4,0.25,25.0,170.0,97.5,280.0,920.0,600.0
BEAS,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,5.0,15.0,10.0,7.6,11.5,9.55,7.0,8.6,7.8,63.0,149.0,106.0,0.1,0.4,0.25,0.1,0.2,0.15,25.0,70.0,47.5,220.0,540.0,380.0
BEAS,4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,9.0,13.0,11.0,7.8,11.1,9.45,7.5,8.0,7.75,73.0,122.0,97.5,0.3,1.4,0.85,0.2,0.4,0.3,40.0,94.0,67.0,350.0,540.0,445.0
BEAS,1002,BEAS AT D/S KULU,HIMACHAL PRADESH,6.0,13.0,9.5,7.8,11.3,9.55,7.4,8.4,7.9,66.0,341.0,203.5,0.2,0.8,0.5,0.03,0.36,0.195,39.0,110.0,74.5,220.0,920.0,570.0
BEAS,1003,BEAS AT D/S AUT,HIMACHAL PRADESH,6.0,15.0,10.5,8.7,11.0,9.85,7.3,8.1,7.699999999999999,50.0,141.0,95.5,0.1,0.4,0.25,0.1,0.13,0.115,26.0,94.0,60.0,150.0,430.0,290.0
BEAS,1004,BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,10.0,19.0,14.5,8.6,11.0,9.8,7.5,8.4,7.95,62.0,136.0,99.0,0.1,0.4,0.25,0.1,0.1,0.1,13.0,40.0,26.5,170.0,280.0,225.0
BEAS,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9.0,24.0,16.5,7.2,11.3,9.25,7.2,8.1,7.65,74.0,149.0,111.5,0.1,0.4,0.25,0.1,0.2,0.15,22.0,110.0,66.0,240.0,350.0,295.0
BEAS,1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,14.0,24.0,19.0,7.9,9.9,8.9,7.8,8.6,8.2,83.0,241.0,162.0,0.1,0.4,0.25,0.1,0.14,0.12,26.0,49.0,37.5,130.0,350.0,240.0
BEAS,1550,BEAS U/S MANDI,HIMACHAL PRADESH,7.0,22.0,14.5,7.1,10.2,8.649999999999999,7.7,8.4,8.05,73.0,159.0,116.0,0.1,0.2,0.15,0.1,0.2,0.15,17.0,27.0,22.0,120.0,280.0,200.0
BEAS,1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,8.0,24.0,16.0,8.1,11.2,9.65,7.6,8.5,8.05,75.0,251.0,163.0,0.2,0.6,0.4,0.02,0.92,0.47,31.0,350.0,190.5,340.0,1600.0,970.0
BEAS,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,8.5,16.0,12.25,9.0,10.5,9.75,7.4,8.6,8.0,129.0,340.0,234.5,0.1,0.5,0.3,0.5,1.3,0.9,2.0,6.0,4.0,39.0,170.0,104.5
BEAS,1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,8.5,14.0,11.25,9.0,10.3,9.65,7.5,8.1,7.8,122.8,290.0,206.4,0.1,0.5,0.3,0.47,1.41,0.94,2.0,6.0,4.0,47.0,150.0,98.5
BEAS,3855,"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,8.5,20.0,14.25,9.0,11.5,10.25,7.3,8.1,7.699999999999999,176.0,323.0,249.5,0.1,0.4,0.25,0.2,1.2,0.7,2.0,6.1,4.05,40.0,170.0,105.0
BEAS,1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,11.5,16.0,13.75,8.3,9.4,8.850000000000001,7.18,7.9,7.54,105.0,196.0,150.5,0.1,0.4,0.25,0.22,1.14,0.6799999999999999,2.0,6.0,4.0,58.0,180.0,119.0
BEAS,1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,7.3,18.0,12.65,7.9,9.5,8.7,7.25,8.0,7.625,114.0,326.0,220.0,0.1,0.5,0.3,0.39,0.98,0.685,2.0,40.0,21.0,48.0,170.0,109.0
BEAS,4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,9.1,24.0,16.55,7.8,8.6,8.2,7.7,8.1,7.9,140.0,283.0,211.5,0.1,0.3,0.2,0.2,0.4,0.3,2.0,2.0,2.0,2.0,79.0,40.5
BEAS,4436,RIVER BEAS  D/S SUJANPUR TIHRA,HIMACHAL PRADESH,9.0,25.0,17.0,7.9,8.5,8.2,8.0,8.2,8.1,132.0,301.0,216.5,0.1,0.2,0.15,0.2,0.9,0.55,2.0,4.0,3.0,2.0,94.0,48.0
BEAS,4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,9.2,23.0,16.1,7.8,8.3,8.05,7.7,8.1,7.9,149.0,285.0,217.0,0.1,0.3,0.2,0.3,0.6,0.4499999999999999,2.0,6.0,4.0,70.0,120.0,95.0
BEAS,4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF
MAAN KHAD",HIMACHAL PRADESH,9.1,26.0,17.55,7.7,9.6,8.65,7.2,8.0,7.6,206.0,290.0,248.0,0.1,0.3,0.2,0.3,0.9,0.6,2.0,7.0,4.5,79.0,130.0,104.5
BEAS,4443,RIVER BEAS AT  RAISON,HIMACHAL PRADESH,8.0,15.0,11.5,8.3,11.0,9.65,7.3,8.2,7.75,69.0,106.0,87.5,0.1,0.3,0.2,0.1,0.5,0.3,26.0,79.0,52.5,220.0,350.0,285.0
BEAS,30083,BEAS AT TALWARA  (PONG DAM),HIMACHAL PRADESH,21.1,21.1,21.1,8.7,8.7,8.7,8.0,8.0,8.0,214.0,214.0,214.0,,,,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0
BEAS,30084,"BEAS AT  D/S CHANGARWA VILLAGE, (PUNJAB)",PUNJAB,26.0,26.0,26.0,8.9,8.9,8.9,8.0,8.0,8.0,215.0,215.0,215.0,,,,0.5,0.5,0.5,2000.0,2000.0,2000.0,13000.0,13000.0,13000.0
BEAS,1693,"BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,15.0,25.0,20.0,6.3,9.2,7.75,7.3,7.9,7.6,158.0,260.0,209.0,1.0,1.1,1.05,0.1,0.4,0.25,31.0,46.0,38.5,70.0,94.0,82.0
BEAS,1694,"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,15.0,28.0,21.5,7.5,8.8,8.15,7.6,8.1,7.85,224.0,280.0,252.0,1.0,1.4,1.2,0.1,0.6,0.35,33.0,140.0,86.5,79.0,280.0,179.5
BEAS,1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,15.0,28.0,21.5,7.3,9.1,8.2,7.4,8.0,7.7,240.0,280.0,260.0,1.0,1.4,1.2,0.1,0.4,0.25,26.0,110.0,68.0,70.0,170.0,120.0
BEAS,1695,"BEAS D/S PATHANKOT, PUNJAB",PUNJAB,15.0,27.0,21.0,7.3,8.6,7.949999999999999,7.7,8.3,8.0,210.0,300.0,255.0,1.0,1.7,1.35,0.3,0.8,0.55,94.0,490.0,292.0,170.0,790.0,480.0
BEAS,1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,
PUNJAB",PUNJAB,15.0,26.0,20.5,6.8,8.4,7.6,7.5,8.0,7.75,231.0,320.0,275.5,1.1,2.0,1.55,0.4,1.0,0.7,210.0,540.0,375.0,430.0,920.0,675.0
BEAS,4164,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,12.0,28.0,20.0,7.1,8.7,7.899999999999999,7.2,7.9,7.550000000000001,210.0,380.0,295.0,1.0,1.7,1.35,0.1,1.2,0.65,110.0,490.0,300.0,170.0,700.0,435.0
BEAS,1011,BEAS AT G.T.  ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,14.0,27.0,20.5,7.2,9.4,8.3,7.5,8.0,7.75,202.0,310.0,256.0,1.0,1.6,1.3,0.1,1.0,0.55,84.0,630.0,357.0,170.0,940.0,555.0
BEAS,1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,12.0,28.0,20.0,7.0,8.6,7.8,7.5,8.1,7.8,199.0,310.0,254.5,1.0,1.6,1.3,0.4,1.2,0.8,110.0,330.0,220.0,210.0,630.0,420.0
BEAS,1696,"BEAS U/S GOINDWAL, PUNJAB",PUNJAB,12.0,27.0,19.5,7.1,9.5,8.3,7.4,8.0,7.7,208.0,298.0,253.0,1.0,1.4,1.2,0.1,0.8,0.45,94.0,250.0,172.0,170.0,580.0,375.0
BEAS,1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,13.0,33.0,23.0,7.4,8.9,8.15,7.2,8.2,7.699999999999999,204.0,318.0,261.0,1.0,1.4,1.2,0.4,1.0,0.7,110.0,350.0,230.0,210.0,540.0,375.0
SATLUJ,1867,"SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB,
DISTT.KINNAUR",HIMACHAL PRADESH,6.0,11.0,8.5,9.0,9.8,9.4,7.1,8.5,7.8,93.0,2574.0,1333.5,0.2,1.7,0.95,0.2,2.2,1.2000000000000002,1.0,17.0,9.0,7.0,170.0,88.5
SATLUJ,2611,SUTLEJ AT KHAB,HIMACHAL PRADESH,6.0,11.0,8.5,8.9,9.8,9.35,7.3,8.5,7.9,94.0,2763.0,1428.5,0.3,1.2,0.75,0.2,2.2,1.2000000000000002,1.0,33.0,17.0,47.0,1600.0,823.5
SATLUJ,3872,SUTLEJ RIVER D/S TIDONG HEP,HIMACHAL PRADESH,7.0,12.0,9.5,8.5,9.4,8.95,6.8,8.5,7.65,113.0,2705.0,1409.0,0.4,2.7,1.55,0.2,2.4,1.3,8.0,23.0,15.5,70.0,1600.0,835.0
SATLUJ,4448,RIVER SUTLEJ U/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,8.1,12.0,10.05,8.6,9.2,8.899999999999999,7.3,8.4,7.85,91.0,2793.0,1442.0,0.3,0.9,0.6,0.2,1.2,0.7,6.0,26.0,16.0,94.0,150.0,122.0
SATLUJ,4449,"RIVER SUTLEJ D/S CONFLUENCES OF RIVER
TIDONG",HIMACHAL PRADESH,8.2,12.0,10.1,8.5,9.0,8.75,6.9,8.5,7.7,93.0,2814.0,1453.5,0.4,0.8,0.6000000000000001,0.2,1.3,0.75,6.0,26.0,16.0,94.0,220.0,157.0
SATLUJ,4452,"RIVER SUTLEJ U/S CONFLUENCES OF RIVER
BASPA",HIMACHAL PRADESH,9.0,9.0,9.0,8.5,8.5,8.5,8.1,8.1,8.1,2630.0,2630.0,2630.0,0.4,0.4,0.4,1.3,1.3,1.3,14.0,14.0,14.0,94.0,94.0,94.0
SATLUJ,4453,"RIVER SUTLEJ D/S CONFLUENCES  OF RIVER
BASPA",HIMACHAL PRADESH,10.0,10.0,10.0,8.6,8.6,8.6,8.5,8.5,8.5,2619.0,2619.0,2619.0,0.5,0.5,0.5,1.2,1.2,1.2,12.0,12.0,12.0,84.0,84.0,84.0
SATLUJ,3871,SUTLEJ RIVER  D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,7.0,12.0,9.5,8.5,9.0,8.75,7.2,8.6,7.9,99.0,2818.0,1458.5,0.2,1.0,0.6,0.2,1.2,0.7,1.0,21.0,11.0,84.0,1600.0,842.0
SATLUJ,3870,SUTLEJ B/C WITH KARCHAM DRAIN,HIMACHAL PRADESH,7.5,13.0,10.25,8.3,9.0,8.65,7.4,8.5,7.95,91.0,2653.0,1372.0,0.3,1.5,0.9,0.3,1.2,0.75,14.0,70.0,42.0,120.0,430.0,275.0
SATLUJ,1389,SUTLEJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,7.0,12.0,9.5,8.4,9.3,8.850000000000001,7.2,8.6,7.9,92.0,2598.0,1345.0,0.4,1.4,0.8999999999999999,0.3,1.2,0.75,1.8,110.0,55.9,46.0,1600.0,823.0
