RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,"RIVER BEAS AT U/S
MANALI",HIMACHAL PRADESH,4.0,14.0,9.0,7.9,9.7,8.8,7.2,8.0,7.6,80.0,270.0,175.0,1.0,1.0,1.0,0.3,0.72,0.51,2.0,110.0,56.0,25.0,540.0,282.5
BEAS,2601,"RIVER BEAS AT D/S
MANALI",HIMACHAL PRADESH,4.0,14.0,9.0,7.7,9.4,8.55,7.1,7.8,7.449999999999999,70.0,116.0,93.0,1.0,1.0,1.0,0.32,0.88,0.6,40.0,350.0,195.0,240.0,1600.0,920.0
BEAS,4444,"RIVER BEAS D/S OF
WPF AT MANALI",HIMACHAL PRADESH,3.0,13.0,8.0,7.7,9.8,8.75,6.9,7.9,7.4,49.0,88.0,68.5,1.0,1.0,1.0,0.32,0.92,0.62,94.0,920.0,507.0,430.0,1600.0,1015.0
BEAS,4037,"RIVER BEAS D/S
MANALSU NALLAH",HIMACHAL PRADESH,4.0,13.0,8.5,7.8,9.9,8.85,6.9,7.9,7.4,45.0,94.0,69.5,1.0,1.0,1.0,0.32,0.82,0.57,33.0,140.0,86.5,170.0,430.0,300.0
BEAS,3866,"RIVER BEAS BEFORE CONFLUENCE TO
MANALSU NALLAH",HIMACHAL PRADESH,4.0,12.0,8.0,7.9,9.8,8.850000000000001,7.1,8.4,7.75,37.0,92.0,64.5,1.0,1.0,1.0,0.32,0.62,0.47,26.0,94.0,60.0,120.0,350.0,235.0
BEAS,2602,"RIVER BEAS AT U/S
KULLU",HIMACHAL PRADESH,6.0,16.0,11.0,5.8,9.1,7.449999999999999,7.3,8.1,7.699999999999999,67.0,127.0,97.0,1.0,1.0,1.0,0.32,1.22,0.77,70.0,140.0,105.0,350.0,920.0,635.0
BEAS,4445,"RIVER BEAS D/S OF
WPF AT KULLU",HIMACHAL PRADESH,5.0,15.0,10.0,7.8,8.8,8.3,7.2,7.9,7.550000000000001,67.0,233.0,150.0,1.0,1.0,1.0,0.32,1.62,0.97,79.0,920.0,499.5,430.0,1600.0,1015.0
BEAS,1002,"RIVER BEAS AT D/S
KULU",HIMACHAL PRADESH,5.0,15.0,10.0,7.6,8.8,8.2,7.2,7.9,7.550000000000001,78.0,145.0,111.5,1.0,1.0,1.0,0.32,1.82,1.07,94.0,540.0,317.0,430.0,1600.0,1015.0
BEAS,1003,"RIVER BEAS AT D/S
AUT",HIMACHAL PRADESH,8.0,14.0,11.0,7.5,8.8,8.15,6.9,8.1,7.5,62.0,120.0,91.0,1.0,1.0,1.0,0.32,0.92,0.62,47.0,220.0,133.5,280.0,920.0,600.0
BEAS,1004,"RIVER BEAS AT U/S
PANDOH DAM",HIMACHAL PRADESH,7.0,23.0,15.0,6.6,10.8,8.7,7.1,8.0,7.55,62.0,126.0,94.0,1.0,1.0,1.0,0.34,1.07,0.7050000000000001,33.0,94.0,63.5,150.0,350.0,250.0
BEAS,2603,"RIVER BEAS AT D/S
PANDOH DAM",HIMACHAL PRADESH,7.0,23.0,15.0,8.2,10.3,9.25,6.9,8.0,7.45,82.0,188.0,135.0,1.0,1.0,1.0,0.32,1.92,1.12,58.0,140.0,99.0,280.0,540.0,410.0
BEAS,1005,"RIVER BEAS AT EXIT OF TUNNEL DEHAL
POWER HOUSE",HIMACHAL PRADESH,13.0,22.0,17.5,8.4,9.4,8.9,7.3,8.0,7.65,75.0,264.0,169.5,1.0,1.0,1.0,0.32,0.92,0.62,43.0,140.0,91.5,220.0,540.0,380.0
BEAS,1550,"RIVER BEAS U/S
MANDI",HIMACHAL PRADESH,7.0,23.0,15.0,8.4,11.2,9.8,7.3,8.2,7.75,71.0,180.0,125.5,1.0,1.0,1.0,0.4,1.73,1.065,21.0,70.0,45.5,110.0,280.0,195.0
BEAS,1006,"RIVER BEAS AT D/S
MANDI",HIMACHAL PRADESH,8.0,23.0,15.5,8.1,10.8,9.45,7.2,8.4,7.800000000000001,83.0,224.0,153.5,1.0,1.0,1.0,0.33,2.61,1.47,70.0,170.0,120.0,240.0,920.0,580.0
BEAS,2604,"RIVER BEAS AT D/S
JAISINGHPUR",HIMACHAL PRADESH,16.0,26.0,21.0,8.4,9.5,8.95,7.3,8.2,7.75,118.0,392.0,255.0,1.0,1.0,1.0,0.4,3.1,1.75,2.0,2.0,2.0,27.0,39.0,33.0
BEAS,1007,"RIVER BEAS AT D/S
ALAMPUR",HIMACHAL PRADESH,15.0,28.5,21.75,8.6,9.6,9.1,7.3,8.2,7.75,109.0,380.0,244.5,1.0,1.0,1.0,0.4,2.4,1.4,2.0,2.0,2.0,21.0,39.0,30.0
BEAS,3855,"RIVER BEAS D/S NADAUN BRIDGE,
VILL BHADOLI",HIMACHAL PRADESH,20.0,29.0,24.5,7.6,9.3,8.45,7.4,8.1,7.75,167.0,431.0,299.0,1.0,1.0,1.0,0.3,1.44,0.87,2.0,2.0,2.0,24.0,34.0,29.0
