RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,5.0,14.0,9.5,7.4,9.8,8.600000000000001,7.8,8.2,8.0,79.0,219.0,149.0,0.1,0.4,0.25,0.3,1.08,0.6900000000000001,25.0,63.0,44.0,220.0,540.0,380.0
BEAS,1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,5.0,15.0,10.0,7.3,11.0,9.15,7.6,8.4,8.0,84.0,167.0,125.5,0.1,1.6,0.8500000000000001,0.3,1.13,0.715,2.0,34.0,18.0,2.0,280.0,141.0
BEAS,1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,9.0,25.0,17.0,8.3,11.3,9.8,7.3,8.5,7.9,69.0,232.0,150.5,0.1,0.3,0.2,0.3,0.98,0.64,17.0,33.0,25.0,130.0,240.0,185.0
BEAS,1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,8.0,22.0,15.0,8.5,11.6,10.05,7.9,8.4,8.15,100.0,304.0,202.0,0.1,0.4,0.25,0.3,0.44,0.37,21.0,34.0,27.5,130.0,350.0,240.0
BEAS,1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10.0,26.0,18.0,6.9,12.0,9.45,7.7,8.3,8.0,93.0,310.0,201.5,0.1,0.4,0.25,0.3,0.71,0.505,20.0,43.0,31.5,170.0,430.0,300.0
BEAS,1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,10.0,19.0,14.5,7.2,8.7,7.949999999999999,6.9,8.3,7.6,138.0,402.0,270.0,0.1,0.8,0.45,0.1,1.47,0.785,2.0,7.0,4.5,79.0,210.0,144.5
BEAS,1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,12.0,18.0,15.0,6.7,8.7,7.699999999999999,7.2,8.4,7.800000000000001,141.0,448.0,294.5,0.1,0.8,0.45,0.28,2.34,1.31,2.0,6.0,4.0,70.0,220.0,145.0
BEAS,1009,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,11.0,18.0,14.5,6.9,8.8,7.85,6.9,8.2,7.55,153.0,528.0,340.5,0.1,0.4,0.25,0.18,2.77,1.475,2.0,6.0,4.0,63.0,220.0,141.5
BEAS,1550,"U/S MANDI, H.P",HIMACHAL PRADESH,9.0,24.0,16.5,7.2,10.8,9.0,7.6,8.3,7.95,79.0,218.0,148.5,0.1,0.1,0.1,0.3,0.73,0.515,13.0,27.0,20.0,110.0,210.0,160.0
BEAS,2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,4.0,12.0,8.0,5.2,10.5,7.85,7.6,8.5,8.05,86.0,162.0,124.0,0.1,0.4,0.25,0.3,0.84,0.57,21.0,94.0,57.5,210.0,430.0,320.0
BEAS,2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,5.0,14.0,9.5,7.4,9.9,8.65,7.8,8.3,8.05,87.0,734.0,410.5,0.1,0.3,0.2,0.3,0.99,0.645,21.0,43.0,32.0,150.0,430.0,290.0
BEAS,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9.0,25.0,17.0,6.7,11.4,9.05,7.0,8.4,7.7,73.0,222.0,147.5,0.1,0.4,0.25,0.3,0.98,0.64,21.0,43.0,32.0,150.0,280.0,215.0
