RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
SATLUJ,1867,"SATLUJ  RIVER  B/C  WITH RIVER    SPITI    AT    KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,9.0,12.0,10.5,9.7,10.1,9.9,6.8,8.0,7.4,92.0,366.0,229.0,0.1,0.2,0.15,0.2,0.2,0.2,2.0,2.0,2.0,20.0,20.0,20.0
SATLUJ,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,9.0,12.0,10.5,9.7,10.1,9.9,6.7,7.9,7.300000000000001,84.0,327.0,205.5,0.1,0.5,0.3,0.2,0.5,0.35,2.0,2.0,2.0,20.0,20.0,20.0
SATLUJ,1389,SATLUJ       AT       NEPTHA ZAKHAI,HIMACHAL PRADESH,12.0,17.0,14.5,9.1,9.6,9.35,6.8,8.1,7.449999999999999,92.0,330.0,211.0,0.1,0.5,0.3,0.2,0.4,0.3,2.0,2.0,2.0,20.0,20.0,20.0
SATLUJ,1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,14.0,17.0,15.5,8.8,9.8,9.3,6.96,7.99,7.475,107.0,309.0,208.0,0.1,0.4,0.25,0.2,0.34,0.27,2.0,2.0,2.0,21.0,21.0,21.0
SATLUJ,1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,14.0,17.0,15.5,8.7,9.2,8.95,6.91,8.04,7.475,102.0,298.0,200.0,0.1,0.2,0.15,0.2,0.513,0.3565,2.0,2.0,2.0,25.0,25.0,25.0
SATLUJ,1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,15.0,19.0,17.0,8.6,8.9,8.75,6.88,7.91,7.395,106.0,311.0,208.5,0.1,2.0,1.05,0.2,0.365,0.2825,2.0,2.0,2.0,25.0,25.0,25.0
SATLUJ,1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,10.0,24.0,17.0,8.0,9.7,8.85,7.56,8.11,7.834999999999999,134.0,329.0,231.5,0.1,0.1,0.1,0.2,0.862,0.531,13.0,23.0,18.0,110.0,180.0,145.0
SATLUJ,1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,10.0,20.0,15.0,6.7,9.8,8.25,7.75,8.16,7.955,123.0,310.0,216.5,0.1,0.2,0.15,0.2,0.931,0.5655,21.0,43.0,32.0,130.0,350.0,240.0
SATLUJ,1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,5.0,20.0,12.5,6.5,7.8,7.15,6.95,8.47,7.710000000000001,232.0,340.0,286.0,0.1,1.2,0.65,0.02,0.54,0.28,6.0,21.0,13.5,210.0,430.0,320.0
SATLUJ,1017,"SATLUJ  AT  100M  U/S  OF HEADWORKS, NANGAL",PUNJAB,16.0,24.0,20.0,7.8,8.2,8.0,7.53,8.1,7.814999999999999,206.0,292.0,249.0,,,,0.2,0.6,0.4,93.0,220.0,156.5,240.0,450.0,345.0
SATLUJ,1293,"SATLUJ  AT  1  KM.  D/S  OF ZENITH, PUNJAB",PUNJAB,15.0,27.0,21.0,7.0,7.8,7.4,7.2,8.0,7.6,258.0,372.0,315.0,2.0,2.0,2.0,0.4,1.0,0.7,200.0,830.0,515.0,610.0,1500.0,1055.0
SATLUJ,1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,16.0,25.0,20.5,7.3,7.9,7.6,7.4,8.2,7.8,205.0,402.0,303.5,,,,0.4,1.8,1.1,200.0,1400.0,800.0,610.0,2400.0,1505.0
SATLUJ,1018,"SATLUJ   AT   100M   D/S   , NANGAL",PUNJAB,16.0,26.0,21.0,7.5,7.9,7.7,7.66,8.2,7.93,244.0,314.0,279.0,1.0,1.0,1.0,0.4,0.8,0.6000000000000001,170.0,400.0,285.0,310.0,610.0,460.0
SATLUJ,1019,SATLUJ    AT    U/S    HEAD WORKS ROPAR,PUNJAB,16.0,24.0,20.0,7.4,7.9,7.65,7.35,8.29,7.819999999999999,224.0,360.0,292.0,,,,0.4,1.0,0.7,200.0,680.0,440.0,680.0,1400.0,1040.0
