RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
SATLUJ,1867,"SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR, H.P.",HIMACHAL PRADESH,3.0,13.0,8.5,9.0,10.4,9.7,7.6,8.5,8.1,123.0,426.0,238.0,0.1,0.3,0.1,0.219,1.03,1.0,11.0,33.0,21.0,22.0,130.0,75.0
SATLUJ,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,2.5,13.0,8.3,9.1,10.6,9.8,7.9,8.8,8.2,125.0,457.0,236.0,0.1,0.2,0.1,0.356,1.3,1.0,11.0,46.0,24.0,34.0,140.0,80.0
SATLUJ,1389,"SATLUJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,3.5,17.0,12.3,8.8,10.2,9.5,7.5,8.9,8.2,75.0,476.0,221.0,0.1,0.5,0.2,0.146,1.45,1.0,22.0,46.0,31.0,70.0,180.0,119.0
SATLUJ,1086,"SATLUJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,4.0,22.0,14.7,9.2,10.4,9.5,6.7,8.6,7.9,176.0,485.0,245.0,0.1,0.3,0.2,0.173,1.86,1.0,21.0,110.0,50.0,94.0,540.0,213.0
SATLUJ,1087,"SATLUJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,4.5,23.0,15.0,0.4,10.1,8.6,7.5,8.7,8.1,90.0,884.0,260.0,0.2,0.6,0.3,0.202,1.05,1.0,23.0,140.0,69.0,130.0,920.0,303.0
SATLUJ,1013,"SATLUJ AT U/S TATAPANI, H.P.",HIMACHAL PRADESH,4.5,22.0,16.1,8.9,9.4,9.2,7.2,8.5,8.0,128.0,940.0,271.0,0.4,0.8,0.5,0.342,1.55,1.0,31.0,79.0,49.0,94.0,350.0,203.0
SATLUJ,1014,"SATLUJ AT U/S SLAPPER, H.P.",HIMACHAL PRADESH,3.0,25.0,13.5,8.6,11.6,9.4,7.9,8.5,8.2,166.0,314.0,200.0,0.2,0.3,0.2,0.322,2.6,1.0,46.0,350.0,87.0,130.0,1600.0,341.0
SATLUJ,1015,"SATLUJ AT D/S SLAPPER, H.P.",HIMACHAL PRADESH,4.0,20.0,13.1,8.6,11.7,9.5,7.7,8.7,8.2,146.0,268.0,187.0,0.1,0.3,0.2,0.338,3.2,1.0,43.0,280.0,74.0,130.0,1600.0,300.0
SATLUJ,1016,"SATLUJ AT D/S BHAKHRA, H.P.",HIMACHAL PRADESH,13.0,20.0,16.7,6.6,11.8,8.4,7.8,8.7,8.3,195.0,239.0,214.0,0.2,0.9,0.5,0.26,1.2,1.0,,,,,,
SATLUJ,1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",PUNJAB,11.0,25.0,18.9,7.0,8.4,7.6,7.1,8.1,7.5,20.0,465.0,227.0,0.4,3.0,1.3,1.0,2.06,2.0,35.0,400.0,106.0,50.0,900.0,315.0
SATLUJ,1293,"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,7.0,25.0,19.3,6.0,7.0,6.6,6.8,8.0,7.6,23.0,482.0,275.0,1.8,13.0,5.3,3.0,3.0,5.0,500.0,1700.0,925.0,1100.0,3000.0,2175.0
SATLUJ,1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,13.0,25.0,21.3,6.8,8.4,7.5,7.4,7.7,7.5,23.0,342.0,230.0,0.8,2.6,1.4,1.1,2.96,2.0,50.0,210.0,105.0,110.0,500.0,403.0
SATLUJ,1019,"SATLUJ AT U/S HEAD WORKS ROPAR, PUNJAB",PUNJAB,5.0,24.0,18.0,6.0,7.4,6.8,6.9,7.8,7.4,22.0,310.0,220.0,1.2,2.8,2.1,2.6,3.0,3.0,40.0,1000.0,388.0,500.0,2500.0,1125.0
SATLUJ,1380,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,11.0,26.0,20.8,6.8,8.6,7.5,7.2,7.9,7.4,24.0,430.0,251.0,1.0,3.0,1.9,1.4,3.06,3.0,110.0,500.0,378.0,500.0,2500.0,1200.0
SATLUJ,1690,"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,17.0,24.0,20.5,5.8,7.4,6.8,7.2,7.9,7.7,343.0,386.0,360.0,0.5,2.0,1.2,2.6,3.05,3.0,50.0,1100.0,407.0,300.0,2300.0,1033.0
SATLUJ,1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA, PUNJAB",PUNJAB,17.0,25.0,21.0,2.0,4.6,3.8,6.3,7.9,7.1,466.0,678.0,558.0,0.9,12.0,5.9,3.4,5.66,5.0,1100.0,5000.0,3700.0,5000.0,11000.0,8000.0
SATLUJ,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR, PUNJAB",PUNJAB,18.0,25.0,21.5,5.4,6.3,5.8,6.5,7.7,7.3,368.0,480.0,407.0,0.6,2.6,1.7,1.6,3.06,3.0,1100.0,10000.0,4700.0,5000.0,22000.0,11000.0
