RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,"BEAS AT U/S MANALI, H.P.",HIMACHAL PRADESH,1.0,16.0,8.2,7.5,11.0,9.1,7.2,8.4,7.9,55.0,335.0,133.0,0.1,0.4,0.1,0.065,0.492,0.2,8.0,49.0,27.0,23.0,240.0,116.0
BEAS,1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,3.0,19.0,10.0,7.5,11.2,9.1,7.5,8.3,8.0,59.0,340.0,128.0,0.1,0.5,0.2,0.0,0.492,0.2,22.0,94.0,54.0,130.0,350.0,285.0
BEAS,1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,4.5,15.5,9.9,8.1,11.0,9.3,7.5,8.2,7.9,57.0,238.0,117.0,0.1,0.2,0.1,0.067,0.492,0.2,17.0,63.0,33.0,79.0,180.0,123.0
BEAS,1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,10.0,23.0,13.6,8.7,10.8,9.6,6.8,8.2,7.7,42.0,322.0,173.0,0.1,0.7,0.2,0.091,0.457,0.3,23.0,49.0,36.0,130.0,280.0,184.0
BEAS,1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,5.8,23.0,11.9,8.7,10.0,9.3,6.8,8.5,8.0,115.0,340.0,198.0,0.1,0.4,0.1,0.0,0.974,0.3,21.0,94.0,40.0,70.0,280.0,148.0
BEAS,1550,"BEAS AT U/S MANDI, H.P",HIMACHAL PRADESH,7.5,19.0,13.6,8.7,11.4,9.7,7.5,8.4,8.0,63.0,309.0,143.0,0.1,0.5,0.1,0.0,0.7,0.3,23.0,94.0,40.0,130.0,920.0,243.0
BEAS,1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10.0,23.0,14.9,6.9,12.2,9.5,7.4,9.0,8.1,89.0,340.0,190.0,0.1,0.6,0.3,0.0,0.83,0.3,27.0,180.0,67.0,170.0,1600.0,426.0
BEAS,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,13.0,21.5,17.9,6.8,10.5,7.8,6.8,8.8,8.1,41.0,488.0,270.0,0.4,1.8,0.8,0.3,1.0,0.5,,,,,,
BEAS,1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,12.0,21.8,18.2,0.2,8.8,7.2,6.9,9.1,8.3,98.0,471.0,301.0,0.2,2.0,0.9,0.26,1.02,0.5,,,,,,
BEAS,1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,14.0,22.0,18.2,7.1,8.3,7.7,7.7,8.6,8.3,118.0,388.0,286.0,0.3,2.0,0.9,0.24,0.97,0.5,,,,,,
